,UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType,id
0,1,56,Male,Pakistan,$82812.000,True,True,engineer,Ural,instagram,80,17.0.0,4229,Pranks,24.0,7867.0.0,5,26.0.0,22.0,87:,Night,3.0.0,7,Procrastination,Smartphone,Android,9:00 PM,5.0.0,5.0.0,Commuting,Mobile-Data,1
1,2,46,Female,Meico,$27999.000,False,True,Artist,Rban,instagram,228,14.0.0,2131,Pranks,19.0,5944.0.0,6,25.0.0,31.0,46:,Afternoon,5.0.0,5,Habit,Computer,Android,5:00 PM,7.0.0,3.0.0,Atschool,Wi-Fi,2
2,3,32,Female,United States,$42436.000,False,True,engineer,Ural,facebook,30,6.0.0,4367,Vlogs,19.0,8674.0.0,3,9.0.0,7.0,88:,Evening,6.0.0,4,Entertainment,Tablet,Android,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,3
3,4,60,Male,Brazil,$62963.000,True,False,Waiting staff,Ural,youtube,101,19.0.0,1507,Vlogs,4.0,2477.0.0,2,6.0.0,41.0,93:,Night,3.0.0,7,Habit,Smartphone,Android,9:00 PM,5.0.0,5.0.0,Commuting,Mobile-Data,4
4,5,25,Male,Pakistan,$22096.000,False,True,Manager,Rban,tiktok,136,6.0.0,2159,Gming,19.0,3093.0.0,7,13.0.0,21.0,4:,Morning,8.0.0,2,Boredom,Smartphone,iOS,8:00 AM,10.0.0,0.0.0,Athome,Mobile-Data,5
5,6,38,Male,Vietnam,$45279.000,False,False,driver,Rban,instagram,89,18.0.0,2917,Jokes/Memes,9.0,8534.0.0,5,27.0.0,16.0,38:,Night,3.0.0,7,Entertainment,Computer,Android,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,6
6,7,56,Male,India,$46201.000,False,False,Students,Ural,tiktok,247,5.0.0,3230,Vlogs,16.0,7207.0.0,9,22.0.0,20.0,63:,Morning,8.0.0,2,Habit,Smartphone,Android,8:00 AM,10.0.0,0.0.0,Atschool,Wi-Fi,7
7,8,36,Male,Brazil,$39715.000,False,False,engineer,Ural,instagram,191,6.0.0,9859,Entertainment,27.0,9654.0.0,3,28.0.0,43.0,29:,Night,3.0.0,7,Entertainment,Tablet,Android,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,8
8,9,40,Male,United States,$49309.000,False,False,waiting staff,Ural,instagram,34,2.0.0,6266,Vlogs,4.0,9394.0.0,8,20.0.0,44.0,19:,Night,3.0.0,7,Entertainment,Computer,Android,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,9
9,10,28,Other,United States,$35078.000,False,False,Students,Ural,youtube,165,8.0.0,4137,ASMR,6.0,9813.0.0,6,4.0.0,47.0,91:,Evening,6.0.0,4,Boredom,Smartphone,iOS,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,10
10,11,28,Male,Indonesia,$76614.000,True,True,Manager,Ural,instagram,14,15.0.0,2690,Pranks,8.0,6227.0.0,4,2.0.0,19.0,29:,Afternoon,5.0.0,5,Boredom,Smartphone,Android,5:00 PM,7.0.0,3.0.0,Athome,Mobile-Data,11
11,12,41,Other,Philippines,$25105.000,False,False,labor/worker,Rban,tiktok,129,15.0.0,7191,Life Hacks,27.0,3535.0.0,9,26.0.0,48.0,35:,Evening,6.0.0,4,Habit,Tablet,Android,2:00 PM,8.0.0,2.0.0,Athome,Wi-Fi,12
12,13,53,Male,Japan,$22839.000,False,False,Waiting staff,Ural,instagram,286,11.0.0,2811,Gming,29.0,7004.0.0,5,4.0.0,32.0,70:,Afternoon,5.0.0,5,Habit,Smartphone,Android,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,13
13,14,57,Male,Indonesia,$88920.000,True,True,Waiting staff,Ural,facebook,27,1.0.0,6153,Vlogs,24.0,2913.0.0,6,8.0.0,15.0,23:,Evening,6.0.0,4,Entertainment,Tablet,Android,2:00 PM,8.0.0,2.0.0,Commuting,Wi-Fi,14
14,15,41,Other,Vietnam,$63619.000,True,True,cashier,Ural,youtube,207,18.0.0,13,Gming,16.0,9381.0.0,9,13.0.0,5.0,46:,Evening,6.0.0,4,Boredom,Tablet,iOS,2:00 PM,8.0.0,2.0.0,Atschool,Wi-Fi,15
